local_gov,type,county,fy_year,fy_total
Aetna,Twp,Logan,2010,66300.63
Aetna,Twp,Logan,2011,66310.23
Aetna,Twp,Logan,2012,65650.26
Aetna,Twp,Logan,2013,63976.67
Aetna,Twp,Logan,2014,65761.48
Aetna,Twp,Logan,2015,62257.880000000005
Aetna,Twp,Logan,2016,67935.23
Aetna,Twp,Logan,2017,68697.69
Aetna,Twp,Logan,2018,68778.5
Aetna,Twp,Logan,2019,67752.8
Aetna,Twp,Logan,2020,100571.05
Aetna,Twp,Logan,2021,100197.22
Afton,Twp,DeKalb,2005,61179.77
Afton,Twp,DeKalb,2006,61625.350000000006
Afton,Twp,DeKalb,2007,61708.92
Afton,Twp,DeKalb,2008,57129.92
Afton,Twp,DeKalb,2009,50004.92
Afton,Twp,DeKalb,2010,49174.6
Afton,Twp,DeKalb,2011,49575.89
Afton,Twp,DeKalb,2012,48595.78
Afton,Twp,DeKalb,2013,46193.75
Afton,Twp,DeKalb,2014,47789.850000000006
Afton,Twp,DeKalb,2015,45235.7
Afton,Twp,DeKalb,2016,49360.619999999995
Afton,Twp,DeKalb,2017,49254.850000000006
Afton,Twp,DeKalb,2018,48927.82
Afton,Twp,DeKalb,2019,47739.28
Afton,Twp,DeKalb,2020,72089.13
Afton,Twp,DeKalb,2021,73190.58
Akron,Twp,Peoria,2005,65139.719999999994
Akron,Twp,Peoria,2006,65705.67000000001
Akron,Twp,Peoria,2007,66356.84
Akron,Twp,Peoria,2008,64238.03
Akron,Twp,Peoria,2009,59923.950000000004
Akron,Twp,Peoria,2010,58916.729999999996
Akron,Twp,Peoria,2011,58925.24
Akron,Twp,Peoria,2012,57190.3
Akron,Twp,Peoria,2013,55716.25
Akron,Twp,Peoria,2014,57634.4
Akron,Twp,Peoria,2015,54627.83
Akron,Twp,Peoria,2016,60877.98
Akron,Twp,Peoria,2017,60745.840000000004
Akron,Twp,Peoria,2018,60820.96
Akron,Twp,Peoria,2019,60058.1
Akron,Twp,Peoria,2020,89983.52
Akron,Twp,Peoria,2021,89649.05
Alba,Twp,Henry,2005,50429.07
Alba,Twp,Henry,2006,50834.6
Alba,Twp,Henry,2007,51338.37
Alba,Twp,Henry,2008,49699.14
Alba,Twp,Henry,2009,46362.04
Alba,Twp,Henry,2010,45592.15
Alba,Twp,Henry,2011,45598.74
Alba,Twp,Henry,2012,44247.39
Alba,Twp,Henry,2013,43117.950000000004
Alba,Twp,Henry,2014,44607.87
Alba,Twp,Henry,2015,42223.78
Alba,Twp,Henry,2016,46074.01
Alba,Twp,Henry,2017,45975.3
Alba,Twp,Henry,2018,46033.08
Alba,Twp,Henry,2019,45455.68
Alba,Twp,Henry,2020,68104.92
Alba,Twp,Henry,2021,67851.65000000001
Albany,Twp,Whiteside,2005,12819.98
Albany,Twp,Whiteside,2006,12931.369999999999
Albany,Twp,Whiteside,2007,13059.51
Albany,Twp,Whiteside,2008,12642.53
Albany,Twp,Whiteside,2009,11793.6
Albany,Twp,Whiteside,2010,11597.78
Albany,Twp,Whiteside,2011,11599.44
Albany,Twp,Whiteside,2012,11257.65
Albany,Twp,Whiteside,2013,10965.7
Albany,Twp,Whiteside,2014,11344.01
Albany,Twp,Whiteside,2015,10737.68
Albany,Twp,Whiteside,2016,11716.8
Albany,Twp,Whiteside,2017,11691.740000000002
Albany,Twp,Whiteside,2018,11706.38
Albany,Twp,Whiteside,2019,11559.49
Albany,Twp,Whiteside,2020,17319.260000000002
Albany,Twp,Whiteside,2021,17254.829999999998
Albany,Muni,Whiteside,2005,25867.36
Albany,Muni,Whiteside,2006,25921.74
Albany,Muni,Whiteside,2007,25911.41
Albany,Muni,Whiteside,2008,24861.68
Albany,Muni,Whiteside,2009,22991.52
Albany,Muni,Whiteside,2010,22501.18
Albany,Muni,Whiteside,2011,22486.66
Albany,Muni,Whiteside,2012,22063.920000000002
Albany,Muni,Whiteside,2013,21487.91
Albany,Muni,Whiteside,2014,22216.629999999997
Albany,Muni,Whiteside,2015,21003.8
Albany,Muni,Whiteside,2016,22866.04
Albany,Muni,Whiteside,2017,22848.53
Albany,Muni,Whiteside,2018,22800.01
Albany,Muni,Whiteside,2019,22474.01
Albany,Muni,Whiteside,2020,33669.41
Albany,Muni,Whiteside,2021,33558.48
Albers,Muni,Clinton,2005,25376.04
Albers,Muni,Clinton,2006,25429.39
Albers,Muni,Clinton,2007,25419.25
Albers,Muni,Clinton,2008,24389.47
Albers,Muni,Clinton,2009,22554.829999999998
Albers,Muni,Clinton,2010,22073.82
Albers,Muni,Clinton,2011,22059.55
Albers,Muni,Clinton,2012,29468.08
Albers,Muni,Clinton,2013,28698.8
Albers,Muni,Clinton,2014,29672.05
Albers,Muni,Clinton,2015,28052.24
Albers,Muni,Clinton,2016,30539.35
Albers,Muni,Clinton,2017,30515.99
Albers,Muni,Clinton,2018,30451.17
Albers,Muni,Clinton,2019,30015.77
Albers,Muni,Clinton,2020,44968.1
Albers,Muni,Clinton,2021,44819.97
Albion,Muni,Edwards,2005,55867.75
Albion,Muni,Edwards,2006,55985.17
Albion,Muni,Edwards,2007,55962.880000000005
Albion,Muni,Edwards,2008,53695.74
Albion,Muni,Edwards,2009,49656.56
Albion,Muni,Edwards,2010,48597.54
Albion,Muni,Edwards,2011,48566.18
Albion,Muni,Edwards,2012,49229.03
Albion,Muni,Edwards,2013,47943.87
Albion,Muni,Edwards,2014,49569.759999999995
Albion,Muni,Edwards,2015,46863.7
Albion,Muni,Edwards,2016,51018.689999999995
Albion,Muni,Edwards,2017,50979.659999999996
Albion,Muni,Edwards,2018,50871.380000000005
Albion,Muni,Edwards,2019,50144
Albion,Muni,Edwards,2020,75123.16
Albion,Muni,Edwards,2021,74875.75
Alden,Twp,McHenry,2005,53103.219999999994
Alden,Twp,McHenry,2006,53564.54
Alden,Twp,McHenry,2007,56092.14
Alden,Twp,McHenry,2008,54264.47
Alden,Twp,McHenry,2009,50600.96
Alden,Twp,McHenry,2010,49634.42
Alden,Twp,McHenry,2011,49632.82
Alden,Twp,McHenry,2012,47566.64
Alden,Twp,McHenry,2013,45320.77
Alden,Twp,McHenry,2014,46886.63
Alden,Twp,McHenry,2015,44380.49
Alden,Twp,McHenry,2016,48976.08
Alden,Twp,McHenry,2017,48141.63
Alden,Twp,McHenry,2018,48140.310000000005
Alden,Twp,McHenry,2019,47485.71
Alden,Twp,McHenry,2020,71524.70999999999
Alden,Twp,McHenry,2021,71319.62000000001
Aledo,Muni,Mercer,2005,104423.27
Aledo,Muni,Mercer,2006,104642.75
Aledo,Muni,Mercer,2007,104601.08
Aledo,Muni,Mercer,2008,100363.51
Aledo,Muni,Mercer,2009,92813.84
Aledo,Muni,Mercer,2010,90834.42
Aledo,Muni,Mercer,2011,90775.76
Aledo,Muni,Mercer,2012,90137.70999999999
Aledo,Muni,Mercer,2013,87784.56
Aledo,Muni,Mercer,2014,90761.56
Aledo,Muni,Mercer,2015,85806.78
Aledo,Muni,Mercer,2016,93414.52
Aledo,Muni,Mercer,2017,93343.03
Aledo,Muni,Mercer,2018,93144.78
Aledo,Muni,Mercer,2019,91812.95
Aledo,Muni,Mercer,2020,137549.47999999998
Aledo,Muni,Mercer,2021,137096.44
Alexander,County,Alexander,2005,138501.97999999998
Alexander,County,Alexander,2006,133124.53
Alexander,County,Alexander,2007,142113.88999999998
Alexander,County,Alexander,2008,128645.45999999999
Alexander,County,Alexander,2009,104466.34
Alexander,County,Alexander,2010,102136.4
Alexander,County,Alexander,2011,100786
Alexander,County,Alexander,2012,106381.73999999999
Alexander,County,Alexander,2013,102536.53
Alexander,County,Alexander,2014,94667.26
Alexander,County,Alexander,2015,86067.17000000001
Alexander,County,Alexander,2016,91644.70999999999
Alexander,County,Alexander,2017,85837.20999999999
Alexander,County,Alexander,2018,90201.08
Alexander,County,Alexander,2019,82521.06
Alexander,County,Alexander,2020,120502.14
Alexander,County,Alexander,2021,119282.32
Alexis,Muni,Warren,2005,24942.53
Alexis,Muni,Warren,2006,24994.93
Alexis,Muni,Warren,2007,24984.960000000003
Alexis,Muni,Warren,2008,23972.8
Alexis,Muni,Warren,2009,22169.49
Alexis,Muni,Warren,2010,21696.68
Alexis,Muni,Warren,2011,21682.66
Alexis,Muni,Warren,2012,20578.14
Alexis,Muni,Warren,2013,20040.940000000002
Alexis,Muni,Warren,2014,20720.56
Alexis,Muni,Warren,2015,19589.420000000002
Alexis,Muni,Warren,2016,21326.22
Alexis,Muni,Warren,2017,21309.91
Alexis,Muni,Warren,2018,21264.649999999998
Alexis,Muni,Warren,2019,20960.58
Alexis,Muni,Warren,2020,31402.09
Alexis,Muni,Warren,2021,31298.66
Algonquin,Twp,McHenry,2005,80409.73
Algonquin,Twp,McHenry,2006,81249.42
Algonquin,Twp,McHenry,2007,85534.20999999999
Algonquin,Twp,McHenry,2008,82746.64
Algonquin,Twp,McHenry,2009,77164.05
Algonquin,Twp,McHenry,2010,75839.8
Algonquin,Twp,McHenry,2011,75846.42
Algonquin,Twp,McHenry,2012,72138.84
Algonquin,Twp,McHenry,2013,69519.20999999999
Algonquin,Twp,McHenry,2014,72116.63
Algonquin,Twp,McHenry,2015,68296.92
Algonquin,Twp,McHenry,2016,75166.43999999999
Algonquin,Twp,McHenry,2017,74285.7
Algonquin,Twp,McHenry,2018,72058.23999999999
Algonquin,Twp,McHenry,2019,63244.55
Algonquin,Twp,McHenry,2020,94402.45
Algonquin,Twp,McHenry,2021,94200.09
Algonquin,Muni,McHenry,2005,805934.8600000001
Algonquin,Muni,McHenry,2006,807628.7699999999
Algonquin,Muni,McHenry,2007,807307.2699999999
Algonquin,Muni,McHenry,2008,821679.98
Algonquin,Muni,McHenry,2009,783047.61
Algonquin,Muni,McHenry,2010,766347.69
Algonquin,Muni,McHenry,2011,765853.07
Algonquin,Muni,McHenry,2012,744032.2
Algonquin,Muni,McHenry,2013,724608.42
Algonquin,Muni,McHenry,2014,749181.8600000001
Algonquin,Muni,McHenry,2015,708283.1699999999
Algonquin,Muni,McHenry,2016,771080.38
Algonquin,Muni,McHenry,2017,770490.39
Algonquin,Muni,McHenry,2018,768853.87
Algonquin,Muni,McHenry,2019,757860.51
Algonquin,Muni,McHenry,2020,1135387.86
Algonquin,Muni,McHenry,2021,1131648.23
Alhambra,Twp,Madison,2005,54617.78999999999
Alhambra,Twp,Madison,2006,55228.24
Alhambra,Twp,Madison,2007,55880.189999999995
Alhambra,Twp,Madison,2008,54095.91
Alhambra,Twp,Madison,2009,50463.6
Alhambra,Twp,Madison,2010,49658.98
Alhambra,Twp,Madison,2011,50083.89
Alhambra,Twp,Madison,2012,48606.850000000006
Alhambra,Twp,Madison,2013,47365.49
Alhambra,Twp,Madison,2014,49001.59
Alhambra,Twp,Madison,2015,46382.32
Alhambra,Twp,Madison,2016,50611.48
Alhambra,Twp,Madison,2017,50502.71
Alhambra,Twp,Madison,2018,50565.11
Alhambra,Twp,Madison,2019,49930.97
Alhambra,Twp,Madison,2020,74810.34
Alhambra,Twp,Madison,2021,74532.26
Alhambra,Muni,Madison,2005,18439.52
Alhambra,Muni,Madison,2006,18478.29
Alhambra,Muni,Madison,2007,18470.93
Alhambra,Muni,Madison,2008,17722.649999999998
Alhambra,Muni,Madison,2009,16389.49
Alhambra,Muni,Madison,2010,16039.93
Alhambra,Muni,Madison,2011,16029.59
Alhambra,Muni,Madison,2012,16863.68
Alhambra,Muni,Madison,2013,16423.43
Alhambra,Muni,Madison,2014,16980.39
Alhambra,Muni,Madison,2015,16053.42
Alhambra,Muni,Madison,2016,17476.72
Alhambra,Muni,Madison,2017,17463.36
Alhambra,Muni,Madison,2018,17426.260000000002
Alhambra,Muni,Madison,2019,17177.1
Alhambra,Muni,Madison,2020,25733.84
Alhambra,Muni,Madison,2021,25649.1
Allen,Twp,LaSalle,2005,75025.34
Allen,Twp,LaSalle,2006,75677.17000000001
Allen,Twp,LaSalle,2007,76427.15000000001
Allen,Twp,LaSalle,2008,73986.8
Allen,Twp,LaSalle,2009,70342.4
Allen,Twp,LaSalle,2010,69174.33
Allen,Twp,LaSalle,2011,71419.45
Allen,Twp,LaSalle,2012,67337.47
Allen,Twp,LaSalle,2013,65618.38
Allen,Twp,LaSalle,2014,67885.57
Allen,Twp,LaSalle,2015,64071.2
Allen,Twp,LaSalle,2016,70116.75
Allen,Twp,LaSalle,2017,69966.35
Allen,Twp,LaSalle,2018,70053.31
Allen,Twp,LaSalle,2019,69174.62000000001
Allen,Twp,LaSalle,2020,103642.53
Allen,Twp,LaSalle,2021,103257.35
Allendale,Muni,Wabash,2005,15260.3
Allendale,Muni,Wabash,2006,15292.39
Allendale,Muni,Wabash,2007,15286.29
Allendale,Muni,Wabash,2008,14667
Allendale,Muni,Wabash,2009,13563.720000000001
Allendale,Muni,Wabash,2010,13274.449999999999
Allendale,Muni,Wabash,2011,13265.9
Allendale,Muni,Wabash,2012,11762.48
Allendale,Muni,Wabash,2013,11455.4
Allendale,Muni,Wabash,2014,11843.9
Allendale,Muni,Wabash,2015,11197.31
Allendale,Muni,Wabash,2016,12190.07
Allendale,Muni,Wabash,2017,12180.76
Allendale,Muni,Wabash,2018,12154.88
Allendale,Muni,Wabash,2019,11981.1
Allendale,Muni,Wabash,2020,17949.45
Allendale,Muni,Wabash,2021,17890.329999999998
Allens Grove,Twp,Mason,2005,71535.48999999999
Allens Grove,Twp,Mason,2006,72156.98
Allens Grove,Twp,Mason,2007,72872.04
Allens Grove,Twp,Mason,2008,72408.93
Allens Grove,Twp,Mason,2009,67774.02
Allens Grove,Twp,Mason,2010,66648.58
Allens Grove,Twp,Mason,2011,66649.9
Allens Grove,Twp,Mason,2012,64665.850000000006
Allens Grove,Twp,Mason,2013,63014.98
Allens Grove,Twp,Mason,2014,65015.46
Allens Grove,Twp,Mason,2015,61294.14
Allens Grove,Twp,Mason,2016,66892.05
Allens Grove,Twp,Mason,2017,66748.59
Allens Grove,Twp,Mason,2018,66831.53
Allens Grove,Twp,Mason,2019,66018.53
Allens Grove,Twp,Mason,2020,98933.76
Allens Grove,Twp,Mason,2021,98566.01
Allenville,Muni,Moultrie,2005,4450.92
Allenville,Muni,Moultrie,2006,4460.28
Allenville,Muni,Moultrie,2007,4458.5
Allenville,Muni,Moultrie,2008,4277.88
Allenville,Muni,Moultrie,2009,3956.09
Allenville,Muni,Moultrie,2010,3871.7
Allenville,Muni,Moultrie,2011,3869.21
Allenville,Muni,Moultrie,2012,3664.9500000000003
Allenville,Muni,Moultrie,2013,3569.2599999999998
Allenville,Muni,Moultrie,2014,3690.29
Allenville,Muni,Moultrie,2015,3488.8500000000004
Allenville,Muni,Moultrie,2016,3798.17
Allenville,Muni,Moultrie,2017,3795.29
Allenville,Muni,Moultrie,2018,3787.22
Allenville,Muni,Moultrie,2019,3733.06
Allenville,Muni,Moultrie,2020,5592.64
Allenville,Muni,Moultrie,2021,5574.2699999999995
Allerton,Muni,Vermilion,2005,8468.32
Allerton,Muni,Vermilion,2006,8486.11
Allerton,Muni,Vermilion,2007,8482.75
Allerton,Muni,Vermilion,2008,8139.07
Allerton,Muni,Vermilion,2009,7526.85
Allerton,Muni,Vermilion,2010,7366.320000000001
Allerton,Muni,Vermilion,2011,7361.57
Allerton,Muni,Vermilion,2012,7206.04
Allerton,Muni,Vermilion,2013,7017.95
Allerton,Muni,Vermilion,2014,7255.92
Allerton,Muni,Vermilion,2015,6859.820000000001
Allerton,Muni,Vermilion,2016,7468.03
Allerton,Muni,Vermilion,2017,7462.3
Allerton,Muni,Vermilion,2018,7446.469999999999
Allerton,Muni,Vermilion,2019,7340
Allerton,Muni,Vermilion,2020,10996.39
Allerton,Muni,Vermilion,2021,10960.19
Allin,Twp,McLean,2005,61535.9
Allin,Twp,McLean,2006,62070.54
Allin,Twp,McLean,2007,62685.64
Allin,Twp,McLean,2008,60684.04
Allin,Twp,McLean,2009,55059.03
Allin,Twp,McLean,2010,54689.98
Allin,Twp,McLean,2011,54697.9
Allin,Twp,McLean,2012,53084.07
Allin,Twp,McLean,2013,51729.689999999995
Allin,Twp,McLean,2014,53517
Allin,Twp,McLean,2015,51868.53
Allin,Twp,McLean,2016,55275.96
Allin,Twp,McLean,2017,55156.719999999994
Allin,Twp,McLean,2018,55224.49
Allin,Twp,McLean,2019,54531.8
Allin,Twp,McLean,2020,81703.59
Allin,Twp,McLean,2021,81399.9
Allison,Twp,Lawrence,2005,58615.78
Allison,Twp,Lawrence,2006,59125.04
Allison,Twp,Lawrence,2007,59710.96
Allison,Twp,Lawrence,2008,57804.380000000005
Allison,Twp,Lawrence,2009,53923.04
Allison,Twp,Lawrence,2010,53027.61
Allison,Twp,Lawrence,2011,53035.310000000005
Allison,Twp,Lawrence,2012,51467.1
Allison,Twp,Lawrence,2013,50153.219999999994
Allison,Twp,Lawrence,2014,51886.02
Allison,Twp,Lawrence,2015,49112.9
Allison,Twp,Lawrence,2016,53552.219999999994
Allison,Twp,Lawrence,2017,53099.75
Allison,Twp,Lawrence,2018,53165.759999999995
Allison,Twp,Lawrence,2019,52498.89
Allison,Twp,Lawrence,2020,78657.78
Allison,Twp,Lawrence,2021,78365.48
Alma,Twp,Marion,2005,71749.13
Alma,Twp,Marion,2006,72372.5
Alma,Twp,Marion,2007,73089.7
Alma,Twp,Marion,2008,70755.92
Alma,Twp,Marion,2009,66004.95999999999
Alma,Twp,Marion,2010,64908.92
Alma,Twp,Marion,2011,64918.27
Alma,Twp,Marion,2012,63002.28999999999
Alma,Twp,Marion,2013,61393.9
Alma,Twp,Marion,2014,63515.1
Alma,Twp,Marion,2015,60120.46
Alma,Twp,Marion,2016,65602.67000000001
Alma,Twp,Marion,2017,65461.97
Alma,Twp,Marion,2018,65543.3
Alma,Twp,Marion,2019,64721.18
Alma,Twp,Marion,2020,96970.09
Alma,Twp,Marion,2021,96609.66
Alma,Muni,Marion,2005,11156.220000000001
Alma,Muni,Marion,2006,11179.65
Alma,Muni,Marion,2007,11175.18
Alma,Muni,Marion,2008,10722.49
Alma,Muni,Marion,2009,9915.89
Alma,Muni,Marion,2010,9704.44
Alma,Muni,Marion,2011,9698.16
Alma,Muni,Marion,2012,7924.1900000000005
Alma,Muni,Marion,2013,7717.320000000001
Alma,Muni,Marion,2014,7979.05
Alma,Muni,Marion,2015,7543.44
Alma,Muni,Marion,2016,8212.28
Alma,Muni,Marion,2017,8205.97
Alma,Muni,Marion,2018,8188.56
Alma,Muni,Marion,2019,8071.48
Alma,Muni,Marion,2020,12092.25
Alma,Muni,Marion,2021,12052.449999999999
Alorton,Muni,St Clair,2005,79451.84
Alorton,Muni,St Clair,2006,79618.87000000001
Alorton,Muni,St Clair,2007,79587.13
Alorton,Muni,St Clair,2008,76362.90999999999
Alorton,Muni,St Clair,2009,70618.66
Alorton,Muni,St Clair,2010,69112.6
Alorton,Muni,St Clair,2011,69067.98
Alorton,Muni,St Clair,2012,49575.74
Alorton,Muni,St Clair,2013,48281.52
Alorton,Muni,St Clair,2014,49918.9
Alorton,Muni,St Clair,2015,47193.74
Alorton,Muni,St Clair,2016,51377.99
Alorton,Muni,St Clair,2017,51338.67
Alorton,Muni,St Clair,2018,51229.61
Alorton,Muni,St Clair,2019,50497.11
Alorton,Muni,St Clair,2020,75652.22
Alorton,Muni,St Clair,2021,75403.06
Alpha,Muni,Henry,2005,20982.920000000002
Alpha,Muni,Henry,2006,21027.02
Alpha,Muni,Henry,2007,21018.64
Alpha,Muni,Henry,2008,20167.17
Alpha,Muni,Henry,2009,18650.1
Alpha,Muni,Henry,2010,18252.35
Alpha,Muni,Henry,2011,18240.57
Alpha,Muni,Henry,2012,16616.06
Alpha,Muni,Henry,2013,16182.25
Alpha,Muni,Henry,2014,16731.05
Alpha,Muni,Henry,2015,15817.68
Alpha,Muni,Henry,2016,17220.109999999997
Alpha,Muni,Henry,2017,17206.91
Alpha,Muni,Henry,2018,17170.37
Alpha,Muni,Henry,2019,16924.86
Alpha,Muni,Henry,2020,25355.95
Alpha,Muni,Henry,2021,25272.460000000003
Alsey,Muni,Scott,2005,7109.89
Alsey,Muni,Scott,2006,7124.87
Alsey,Muni,Scott,2007,7122.04
Alsey,Muni,Scott,2008,6833.48
Alsey,Muni,Scott,2009,6319.469999999999
Alsey,Muni,Scott,2010,6184.6900000000005
Alsey,Muni,Scott,2011,6180.68
Alsey,Muni,Scott,2012,5621.23
Alsey,Muni,Scott,2013,5474.48
Alsey,Muni,Scott,2014,5660.120000000001
Alsey,Muni,Scott,2015,5351.160000000001
Alsey,Muni,Scott,2016,5825.57
Alsey,Muni,Scott,2017,5821.14
Alsey,Muni,Scott,2018,5808.74
Alsey,Muni,Scott,2019,5725.7
Alsey,Muni,Scott,2020,8577.97
Alsey,Muni,Scott,2021,8549.69
Alsip,Muni,Cook,2005,570093.81
Alsip,Muni,Cook,2006,571291.98
Alsip,Muni,Cook,2007,571064.58
Alsip,Muni,Cook,2008,547929.6
Alsip,Muni,Cook,2009,506712.63999999996
Alsip,Muni,Cook,2010,495906.04
Alsip,Muni,Cook,2011,495585.97000000003
Alsip,Muni,Cook,2012,477358.33999999997
Alsip,Muni,Cook,2013,464896.36
Alsip,Muni,Cook,2014,480662.27
Alsip,Muni,Cook,2015,454422.36
Alsip,Muni,Cook,2016,494711.99000000005
Alsip,Muni,Cook,2017,494333.44
Alsip,Muni,Cook,2018,493283.5
Alsip,Muni,Cook,2019,486230.33999999997
Alsip,Muni,Cook,2020,728445.4500000001
Alsip,Muni,Cook,2021,726046.15
Altamont,Muni,Effingham,2005,65983.47
Altamont,Muni,Effingham,2006,66122.13
Altamont,Muni,Effingham,2007,66095.85
