Category,Catname,Subcategory,Rollup1,Rollup2
234t,Charges for services and utilities,Charges for Services    ,Charges for services,Charges for other services and utilities
235t,Interest    ,,Other Revenues,Other Revenues
236t,Miscellaneous   ,,Other Revenues,Other Revenues
240t,Total Receipts and Revenue,,Total Receipts and Revenue,Total Receipts and Revenue
251a,General Government,Financial Administration    ,General Government,General Government
251b,General Government,General Administrative Buildings    ,General Government,General Government
251c,General Government,Central Administration    ,General Government,General Government
251d,General Government,Other     ,General Government,General Government
251t,General Government,General Government    ,General Government,General Government
252a,Public Safety,Police    ,"Public Safety, Corrections, Judiciary, and Legal","Public Safety, Corrections, Judiciary, and Legal"
252b,Public Safety,Fire    ,"Public Safety, Corrections, Judiciary, and Legal","Public Safety, Corrections, Judiciary, and Legal"
252c,Public Safety,Regulation - Building Inspection    ,"Public Safety, Corrections, Judiciary, and Legal","Public Safety, Corrections, Judiciary, and Legal"
252d,Public Safety,Other     ,"Public Safety, Corrections, Judiciary, and Legal","Public Safety, Corrections, Judiciary, and Legal"
252t,Public Safety,Public Safety    ,"Public Safety, Corrections, Judiciary, and Legal","Public Safety, Corrections, Judiciary, and Legal"
253t,Corrections    ,Corrections    ,"Public Safety, Corrections, Judiciary, and Legal","Public Safety, Corrections, Judiciary, and Legal"
254t,Judiciary and Legal    ,Judiciary and Legal    ,"Public Safety, Corrections, Judiciary, and Legal","Public Safety, Corrections, Judiciary, and Legal"
255a,Transportation and Public Works,Streets and Highways    ,Transportation and Public Works Operations,Transportation and Public Works Operations
255b,Transportation and Public Works,Airports    ,Transportation and Public Works Operations,Transportation and Public Works Operations
255c,Transportation and Public Works,Parking Meters    ,Transportation and Public Works Operations,Transportation and Public Works Operations
255d,Transportation and Public Works,Parking Facilities    ,Transportation and Public Works Operations,Transportation and Public Works Operations
255e,Transportation and Public Works,Other     ,Transportation and Public Works Operations,Transportation and Public Works Operations
255t,Transportation and Public Works,Transportation and Public Works    ,Transportation and Public Works Operations,Transportation and Public Works Operations
256a,Social Services,Welfare    ,Social Services and Housing,Social Services and Housing
256b,Social Services,Health (Other than hospitals)    ,Social Services and Housing,Social Services and Housing
256c,Social Services,Hospital Operations    ,Social Services and Housing,Social Services and Housing
256d,Social Services,Cemeteries    ,Social Services and Housing,Social Services and Housing
256e,Social Services,Other     ,Social Services and Housing,Social Services and Housing
256t,Social Services,Social Services    ,Social Services and Housing,Social Services and Housing
257a,Culture and Recreation,Library    ,Culture and Recreation,Culture and Recreation
257b,Culture and Recreation,Parks    ,Culture and Recreation,Culture and Recreation
257c,Culture and Recreation,Other     ,Culture and Recreation,Culture and Recreation
257t,Culture and Recreation,Culture and Recreation    ,Culture and Recreation,Culture and Recreation
258t,Housing    ,Housing    ,Social Services and Housing,Social Services and Housing
259a,Debt,Interest    ,Debt,Debt
259b,Debt,Principal    ,Debt,Debt
259t,Debt,Debt    ,Debt,Debt
260t,Other Expenditures     ,Other Expenditures     ,Other Expenditures     ,Other Expenditures     
270t,Total Expenditures/Expense ,Total Expenditures/Expense ,Total Expenditures/Expense ,Total Expenditures/Expense 
271a,Public Utilities,Water    ,"Public Utilities, Sewage, and Waste Management Services","Public Utilities, Sewage, and Waste Management Services"
271b,Public Utilities,Electric    ,"Public Utilities, Sewage, and Waste Management Services","Public Utilities, Sewage, and Waste Management Services"
271c,Public Utilities,Transit    ,"Public Utilities, Sewage, and Waste Management Services","Public Utilities, Sewage, and Waste Management Services"
271d,Public Utilities,Other     ,"Public Utilities, Sewage, and Waste Management Services","Public Utilities, Sewage, and Waste Management Services"
271t,Public Utilities,Public Utility Company    ,"Public Utilities, Sewage, and Waste Management Services","Public Utilities, Sewage, and Waste Management Services"
272t,Depreciation    ,Depreciation    ,Other Expenditures     ,Other Expenditures     
275a,Sewage and waste management,Sewage    ,"Public Utilities, Sewage, and Waste Management Services","Public Utilities, Sewage, and Waste Management Services"
275b,Sewage and waste management,Solid Waste Management    ,"Public Utilities, Sewage, and Waste Management Services","Public Utilities, Sewage, and Waste Management Services"
275c,Sewage and waste management,Other     ,"Public Utilities, Sewage, and Waste Management Services","Public Utilities, Sewage, and Waste Management Services"
275t,Sewage and waste management,Environment    ,"Public Utilities, Sewage, and Waste Management Services","Public Utilities, Sewage, and Waste Management Services"
280t,Capital Outlay    ,Capital Outlay    ,Capital Outlay    ,Capital Outlay    
